datetime,teamperature,humidity
2022-02-19  02:38:50,21,37
2022-02-19  02:39:23,21,37
2022-02-19  02:39:57,21,37
2022-02-19  02:40:30,22,38
2022-02-19  02:41:04,21,37
2022-02-19  02:41:37,21,37
2022-02-19  02:42:11,22,38
2022-02-19  02:42:44,21,37
2022-02-19  02:43:18,21,37
2022-02-19  02:43:51,21,37
2022-02-19  02:44:25,21,37
2022-02-19  02:44:58,21,37
2022-02-19  02:45:32,21,37
2022-02-19  02:46:05,21,37
2022-02-19  02:46:39,21,37
2022-02-19  02:47:13,21,37
2022-02-19  02:47:46,21,37
2022-02-19  02:48:20,21,37
2022-02-19  02:48:53,21,37
2022-02-19  02:49:27,21,37
2022-02-19  02:50:00,21,37
2022-02-19  02:50:34,21,37
2022-02-19  02:51:07,21,37
2022-02-19  02:51:41,21,37
2022-02-19  02:52:14,21,37
2022-02-19  02:52:48,21,37
2022-02-19  02:53:21,21,37
2022-02-19  02:53:55,21,37
2022-02-19  02:54:28,21,37
2022-02-19  02:55:02,21,37
2022-02-19  02:55:35,21,37
2022-02-19  02:56:09,21,37
2022-02-19  02:56:42,21,37
2022-02-19  02:57:16,21,37
2022-02-19  02:57:49,21,37
2022-02-19  02:58:23,21,37
2022-02-19  02:58:56,21,37
2022-02-19  02:59:30,21,37
2022-02-19  03:00:03,21,37
2022-02-19  03:00:37,21,37
2022-02-19  03:01:10,21,37
2022-02-19  03:01:44,21,37
2022-02-19  03:02:17,21,37
2022-02-19  03:02:51,21,37
2022-02-19  03:03:24,21,37
2022-02-19  03:03:58,21,37
2022-02-19  03:04:31,21,37
2022-02-19  03:05:05,21,37
2022-02-19  03:05:38,21,37
2022-02-19  03:06:12,21,37
2022-02-19  03:06:45,21,37
2022-02-19  03:07:19,21,37
2022-02-19  03:07:52,21,37
2022-02-19  03:08:26,21,37
2022-02-19  03:08:59,21,37
2022-02-19  03:09:33,21,37
2022-02-19  03:10:06,21,37
2022-02-19  03:10:40,21,37
2022-02-19  03:11:13,21,37
